Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSCH,PSCD,PSCA
01/08/2021,Team15,Team0,1,0,H,1.58,7.16,3.61,1.63,7.37,3.72
01/08/2021,Team5,Team6,2,1,H,1.41,5.82,5.98,1.45,5.99,6.16
01/08/2021,Team1,Team6,2,0,D,1.39,4.57,9.07,1.43,4.7,9.34
01/08/2021,Team12,Team10,0,0,A,3.01,5.47,1.87,3.1,5.63,1.92
02/08/2021,Team4,Team17,2,1,A,1.48,4.77,6.15,1.52,4.91,6.33
02/08/2021,Team16,Team13,1,1,A,2.11,4.56,2.8,2.17,4.7,2.88
02/08/2021,Team13,Team9,1,1,A,2.62,5.14,2.11,2.7,5.29,2.17
02/08/2021,Team17,Team15,0,0,H,3.43,4.59,1.85,3.53,4.72,1.9
03/08/2021,Team9,Team0,2,2,H,2.32,4.52,2.52,2.39,4.65,2.59
03/08/2021,Team5,Team4,1,1,D,2.73,6.04,1.93,2.81,6.22,1.99
03/08/2021,Team3,Team13,3,1,D,4.17,4.28,1.74,4.29,4.4,1.79
03/08/2021,Team19,Team2,5,2,H,2.58,5.33,2.11,2.66,5.48,2.17
04/08/2021,Team1,Team10,2,0,H,1.61,4.86,4.46,1.66,5.0,4.59
04/08/2021,Team9,Team1,1,3,D,2.61,5.23,2.1,2.69,5.38,2.16
04/08/2021,Team15,Team13,3,0,H,1.66,4.52,4.43,1.71,4.65,4.56
04/08/2021,Team6,Team9,0,2,A,3.1,6.23,1.77,3.19,6.41,1.82
05/08/2021,Team18,Team8,2,1,D,3.15,4.54,1.95,3.24,4.67,2.01
05/08/2021,Team2,Team0,1,2,H,2.21,4.12,2.81,2.28,4.24,2.9
05/08/2021,Team14,Team3,3,1,H,1.54,4.5,5.65,1.58,4.63,5.81
05/08/2021,Team18,Team11,0,1,A,5.13,4.82,1.54,5.28,4.96,1.59
06/08/2021,Team13,Team14,3,3,H,1.76,4.79,3.65,1.82,4.93,3.75
06/08/2021,Team17,Team5,1,0,H,2.74,5.15,2.04,2.82,5.3,2.1
06/08/2021,Team12,Team1,1,1,A,7.0,4.19,1.5,7.21,4.31,1.54
06/08/2021,Team7,Team14,1,1,H,1.47,5.27,5.54,1.51,5.42,5.71
07/08/2021,Team5,Team1,0,2,A,2.65,4.54,2.21,2.73,4.68,2.27
07/08/2021,Team18,Team17,0,2,A,2.2,5.59,2.4,2.26,5.75,2.48
07/08/2021,Team11,Team16,0,0,A,1.68,5.52,3.67,1.73,5.68,3.77
07/08/2021,Team14,Team4,0,0,A,5.47,4.17,1.59,5.63,4.3,1.64
08/08/2021,Team5,Team17,3,0,H,1.52,5.13,5.11,1.56,5.28,5.26
08/08/2021,Team10,Team19,2,0,D,1.92,4.72,3.14,1.98,4.85,3.23
08/08/2021,Team16,Team4,1,0,A,3.27,6.29,1.71,3.36,6.48,1.76
08/08/2021,Team19,Team2,2,0,H,2.86,5.17,1.97,2.94,5.32,2.03
09/08/2021,Team16,Team13,2,1,H,2.03,4.71,2.89,2.09,4.85,2.98
09/08/2021,Team15,Team8,0,1,H,1.82,4.69,3.49,1.87,4.83,3.6
09/08/2021,Team9,Team12,3,0,H,1.5,5.22,5.16,1.55,5.37,5.31
09/08/2021,Team4,Team9,1,1,D,1.76,4.28,4.02,1.81,4.4,4.14
10/08/2021,Team19,Team4,1,1,A,4.54,5.45,1.55,4.68,5.61,1.59
10/08/2021,Team13,Team5,2,0,H,2.58,5.49,2.08,2.65,5.65,2.14
10/08/2021,Team16,Team1,1,1,H,2.99,4.59,2.01,3.08,4.72,2.07
10/08/2021,Team19,Team8,0,1,A,2.95,3.66,2.28,3.04,3.77,2.35
11/08/2021,Team10,Team1,1,2,A,2.85,5.67,1.91,2.94,5.84,1.97
11/08/2021,Team3,Team9,1,3,D,5.57,4.98,1.49,5.73,5.13,1.54
11/08/2021,Team17,Team15,1,1,H,3.21,4.8,1.89,3.31,4.94,1.94
11/08/2021,Team12,Team3,1,2,A,1.76,4.34,3.99,1.81,4.47,4.1
12/08/2021,Team11,Team7,2,3,H,2.08,5.16,2.67,2.14,5.31,2.74
12/08/2021,Team17,Team11,3,1,A,3.15,4.75,1.91,3.24,4.89,1.97
12/08/2021,Team6,Team17,0,0,H,2.28,4.4,2.6,2.35,4.53,2.67
12/08/2021,Team12,Team7,1,2,A,3.64,5.33,1.7,3.74,5.49,1.75
13/08/2021,Team0,Team15,1,2,D,2.25,4.13,2.75,2.32,4.26,2.83
13/08/2021,Team7,Team12,3,1,H,1.4,5.64,6.41,1.44,5.81,6.6
13/08/2021,Team17,Team3,1,1,H,1.49,4.28,6.89,1.53,4.4,7.09
13/08/2021,Team2,Team12,2,6,D,1.49,3.93,8.06,1.53,4.05,8.3
14/08/2021,Team15,Team8,0,1,H,1.99,4.24,3.22,2.04,4.37,3.32
14/08/2021,Team9,Team14,0,0,H,1.57,4.81,4.89,1.61,4.96,5.04
14/08/2021,Team1,Team0,1,0,H,1.71,4.52,4.07,1.77,4.65,4.19
14/08/2021,Team15,Team11,2,0,H,2.12,5.13,2.61,2.18,5.28,2.68
15/08/2021,Team3,Team17,1,2,A,3.96,5.55,1.62,4.07,5.71,1.67
15/08/2021,Team3,Team17,0,1,A,3.02,5.06,1.92,3.11,5.21,1.98
15/08/2021,Team18,Team0,0,2,A,4.43,4.73,1.63,4.56,4.87,1.68
15/08/2021,Team14,Team10,1,0,A,2.77,4.9,2.06,2.86,5.04,2.12
16/08/2021,Team10,Team11,0,0,D,2.57,5.81,2.05,2.64,5.98,2.11
16/08/2021,Team11,Team16,2,1,D,1.83,4.12,3.84,1.88,4.24,3.95
16/08/2021,Team9,Team19,1,0,H,1.7,3.74,5.13,1.75,3.85,5.28
16/08/2021,Team16,Team1,0,1,A,3.03,4.83,1.95,3.12,4.98,2.0
17/08/2021,Team8,Team5,3,2,H,2.33,5.01,2.37,2.4,5.16,2.44
17/08/2021,Team16,Team15,0,1,A,2.9,4.27,2.12,2.99,4.39,2.18
17/08/2021,Team10,Team9,1,2,A,2.09,4.66,2.81,2.15,4.8,2.89
17/08/2021,Team11,Team1,3,2,A,2.43,4.19,2.51,2.5,4.31,2.58
18/08/2021,Team6,Team17,0,0,A,2.31,4.78,2.45,2.38,4.92,2.52
18/08/2021,Team3,Team18,0,2,A,2.86,4.76,2.04,2.94,4.9,2.1
18/08/2021,Team0,Team7,3,1,H,2.66,3.5,2.58,2.73,3.6,2.65
18/08/2021,Team6,Team3,2,0,D,1.71,4.57,4.07,1.76,4.7,4.18
19/08/2021,Team8,Team15,0,2,D,2.3,4.26,2.63,2.37,4.38,2.7
19/08/2021,Team2,Team9,2,1,A,1.89,6.19,2.79,1.94,6.37,2.87
19/08/2021,Team2,Team16,0,0,A,1.83,5.6,3.08,1.88,5.77,3.17
19/08/2021,Team12,Team19,2,0,A,2.49,5.89,2.09,2.56,6.06,2.15
20/08/2021,Team4,Team6,1,3,D,1.42,3.91,10.98,1.46,4.03,11.3
20/08/2021,Team17,Team19,1,2,H,2.12,4.27,2.9,2.19,4.4,2.98
20/08/2021,Team4,Team16,1,0,A,1.58,3.88,6.25,1.63,3.99,6.44
20/08/2021,Team18,Team2,2,1,A,3.17,5.3,1.83,3.27,5.46,1.88
