Date,Winner,Loser,WRank,LRank,WPts,LPts,B365W,B365L,PSW,PSL
01/01/2021,Player17,Player29,49,54,1531,1316,1.78,2.05,1.83,2.11
01/01/2021,Player56,Player46,14,7,3706,4796,1.93,1.88,1.98,1.94
01/01/2021,Player6,Player3,9,28,4577,3305,1.78,2.05,1.83,2.11
02/01/2021,Player14,Player47,11,6,4174,4446,1.81,2.01,1.87,2.07
02/01/2021,Player57,Player3,48,28,1587,3305,2.51,1.53,2.59,1.58
02/01/2021,Player23,Player2,8,44,3953,1873,1.37,3.14,1.41,3.23
03/01/2021,Player45,Player26,25,30,3083,3202,1.87,1.94,1.93,2.0
03/01/2021,Player48,Player58,12,38,4191,2420,1.56,2.44,1.61,2.51
03/01/2021,Player22,Player35,42,57,1754,1093,1.55,2.47,1.6,2.54
04/01/2021,Player11,Player36,45,58,2050,885,1.52,2.55,1.56,2.63
04/01/2021,Player32,Player35,46,57,1603,1093,1.81,2.01,1.86,2.07
04/01/2021,Player28,Player12,18,26,3592,3655,1.73,2.12,1.78,2.18
05/01/2021,Player15,Player32,34,46,2466,1603,1.79,2.04,1.84,2.1
05/01/2021,Player14,Player37,11,52,4174,1222,1.46,2.74,1.5,2.82
05/01/2021,Player59,Player37,43,52,2172,1222,1.8,2.03,1.85,2.09
06/01/2021,Player31,Player37,55,52,899,1222,1.88,1.93,1.93,1.99
06/01/2021,Player52,Player40,3,17,4703,3658,1.8,2.02,1.85,2.08
06/01/2021,Player57,Player1,48,60,1587,994,1.64,2.28,1.68,2.35
07/01/2021,Player46,Player41,7,51,4796,1403,1.3,3.6,1.33,3.7
07/01/2021,Player17,Player26,49,30,1531,3202,2.29,1.63,2.36,1.68
07/01/2021,Player10,Player38,31,5,2848,4828,2.36,1.6,2.43,1.65
08/01/2021,Player33,Player54,24,47,3673,1574,1.66,2.24,1.7,2.31
08/01/2021,Player16,Player43,35,1,2680,4968,3.14,1.37,3.23,1.41
08/01/2021,Player57,Player25,48,16,1587,3895,2.44,1.56,2.51,1.61
09/01/2021,Player0,Player32,33,46,2577,1603,1.64,2.28,1.68,2.35
09/01/2021,Player14,Player13,11,39,4174,2325,1.51,2.58,1.55,2.66
09/01/2021,Player4,Player43,19,1,3295,4968,2.03,1.8,2.09,1.85
10/01/2021,Player53,Player10,2,31,4719,2848,1.63,2.29,1.68,2.36
10/01/2021,Player14,Player55,11,36,4174,2316,1.46,2.72,1.51,2.8
10/01/2021,Player55,Player47,36,6,2316,4446,3.15,1.37,3.24,1.41
11/01/2021,Player36,Player3,58,28,885,3305,2.42,1.57,2.49,1.62
